Fecha,NO,NO2,SO2,NOX,PM10,TMP,HR,PRB,VV,O3,RS,DD
2022-03-30,2.75,8.75,2.2916666666666665,12.916666666666666,32.708333333333336,15.041666666666666,99.20833333333333,1000.875,1.0416666666666667,60.72730404823428,1902.0,230.4465921982007
2022-03-31,2.25,7.125,2.625,10.875,14.50884086444008,15.625,70.125,1001.9583333333334,1.2083333333333333,60.23944875107666,4393.0,281.0629510912554
2022-04-01,2.1666666666666665,6.916666666666667,2.9166666666666665,10.291666666666666,17.49901768172888,15.041666666666666,59.0,1008.3333333333334,1.1666666666666667,59.751593453919035,3297.0,301.9599505712382
2022-04-02,2.0,6.458333333333333,3.0416666666666665,9.666666666666666,17.027504911591354,12.5,43.416666666666664,1014.5,1.5416666666666667,59.26373815676141,6266.0,316.29945904541523
2022-04-03,2.0,6.416666666666667,3.875,9.666666666666666,16.55599214145383,10.583333333333334,66.08333333333333,1012.375,1.1666666666666667,58.77588285960379,5020.0,7.964853342478924
2022-04-04,2.0,5.291666666666667,2.375,8.583333333333334,16.084479371316306,9.875,90.83333333333333,1010.2916666666666,1.4166666666666667,58.28802756244617,818.0,36.925715598434536
2022-04-05,2.0,5.740131578947369,2.503205128205128,9.115131578947368,15.612966601178782,9.81469298245614,96.37171052631578,1008.9912280701755,1.2050438596491229,57.800172265288545,654.9736842105264,17.53054665952185
2022-04-06,2.0,3.8552631578947367,2.371794871794872,6.855263157894737,15.141453831041256,12.671052631578947,85.11842105263158,1011.8157894736842,1.618421052631579,57.31231696813092,5292.9473684210525,326.39473684210526
2022-04-07,2.0833333333333335,4.967105263157895,2.2916666666666665,8.133771929824562,14.669941060903733,18.076754385964914,55.780701754385966,1016.6929824561404,1.6973684210526316,56.8244616709733,11060.57894736842,260.7895932003747
2022-04-08,2.0416666666666665,7.208333333333333,2.0,10.625,14.19842829076621,18.125,61.166666666666664,1015.4166666666666,1.4583333333333333,56.33660637381568,6240.0,241.72995468122508
2022-04-09,2.3333333333333335,7.458333333333333,2.875,10.958333333333334,13.726915520628685,19.541666666666668,58.375,1014.8333333333334,1.5416666666666667,55.848751076658054,5957.0,220.12601363931034
2022-04-10,2.1666666666666665,6.041666666666667,2.125,9.541666666666666,13.25540275049116,16.916666666666668,83.66666666666667,1015.5,1.1666666666666667,55.36089577950043,5595.0,59.95805901167806
2022-04-11,2.0416666666666665,7.208333333333333,2.0,10.541666666666666,12.783889980353635,15.416666666666666,92.5,1010.1666666666666,1.0416666666666667,54.87304048234281,3211.0,13.245352592413985
2022-04-12,2.375,8.708333333333334,2.2083333333333335,12.416666666666666,12.31237721021611,15.666666666666666,97.08333333333333,1008.3333333333334,1.2916666666666667,54.385185185185186,1611.0,193.9468524940885
2022-04-13,2.2083333333333335,7.458333333333333,3.1666666666666665,10.958333333333334,11.840864440078585,15.291666666666666,90.25,1008.2916666666666,1.1666666666666667,53.89732988802756,3252.0,303.7885152029511
2022-04-14,2.0,6.541666666666667,3.0,9.875,11.36935166994106,16.583333333333332,83.16666666666667,1011.9583333333334,1.4583333333333333,53.40947459086994,4144.0,327.8326730262705
2022-04-15,2.0416666666666665,6.75,2.125,10.125,10.897838899803537,18.541666666666668,57.583333333333336,1016.9583333333334,1.2083333333333333,52.92161929371232,5686.0,351.3945121575394
2022-04-16,2.0416666666666665,7.458333333333333,2.75,10.75,10.42632612966601,20.833333333333332,57.208333333333336,1017.4583333333334,1.4583333333333333,52.433763996554696,6002.0,242.3722180626604
2022-04-17,2.375,7.291666666666667,2.6666666666666665,11.208333333333334,9.954813359528488,20.666666666666668,64.875,1014.8333333333334,1.125,51.94590869939707,6401.0,128.11373941330982
2022-04-18,2.3333333333333335,8.625,3.75,12.375,9.483300589390963,18.541666666666668,85.16666666666667,1014.2916666666666,1.0,51.45805340223945,5870.0,50.16825309514382
