Fecha,NO,NO2,SO2,O3,NOX,C6H6,C7H8,XIL,PM10,Ruido
23 may. 2017 08:05,,,11.0,19.0,,,,,46.0,
23 may. 2017 09:05,,,11.0,28.0,,,,,60.0,
23 may. 2017 10:05,,,10.0,50.0,,,,,27.0,
23 may. 2017 11:05,,,10.0,57.0,,,,,17.0,
23 may. 2017 12:05,,,11.0,62.0,,,,,20.0,
23 may. 2017 13:05,,,11.0,68.0,,,,,20.0,
23 may. 2017 14:05,,,12.0,70.0,,,,,27.0,
23 may. 2017 15:05,,,10.0,69.0,,,,,35.0,
23 may. 2017 16:05,,,11.0,62.0,,,,,36.0,
23 may. 2017 17:05,,,11.0,60.0,,,,,30.0,
23 may. 2017 18:05,,,12.0,61.0,,,,,33.0,
23 may. 2017 19:05,,,11.0,62.0,,,,,19.0,
23 may. 2017 20:05,,,8.0,64.0,,,,,20.0,
23 may. 2017 21:05,,,7.0,60.0,,,,,20.0,
23 may. 2017 22:05,,,8.0,56.0,,,,,25.0,
23 may. 2017 23:05,,,7.0,49.0,,,,,19.0,
24 may. 2017 00:05,,,6.0,43.0,,,,,15.0,
24 may. 2017 01:05,,,9.0,42.0,,,,,15.0,
24 may. 2017 02:05,,,10.0,42.0,,,,,13.0,
24 may. 2017 03:05,,,10.0,43.0,,,,,11.0,
24 may. 2017 04:05,,,10.0,46.0,,,,,12.0,
24 may. 2017 05:05,,,11.0,52.0,,,,,13.0,
24 may. 2017 06:05,,,11.0,47.0,,,,,29.0,
24 may. 2017 07:05,,,11.0,39.0,,,,,57.0,
24 may. 2017 08:05,,,10.0,37.0,,,,,23.0,
24 may. 2017 09:05,,,11.0,43.0,,,,,70.0,
24 may. 2017 10:05,,,10.0,62.0,,,,,21.0,
24 may. 2017 11:05,,,11.0,69.0,,,,,19.0,
24 may. 2017 12:05,,,12.0,77.0,,,,,21.0,
24 may. 2017 13:05,,,11.0,78.0,,,,,27.0,
24 may. 2017 14:05,,,11.0,77.0,,,,,38.0,
24 may. 2017 15:05,,,10.0,77.0,,,,,25.0,
24 may. 2017 16:05,,,12.0,72.0,,,,,28.0,
24 may. 2017 17:05,,,14.0,75.0,,,,,30.0,
24 may. 2017 18:05,,,14.0,71.0,,,,,26.0,
24 may. 2017 19:05,,,12.0,72.0,,,,,34.0,
24 may. 2017 20:05,,,10.0,72.0,,,,,25.0,
24 may. 2017 21:05,,,9.0,69.0,,,,,24.0,
24 may. 2017 22:05,,,9.0,61.0,,,,,24.0,
24 may. 2017 23:05,,,8.0,54.0,,,,,20.0,
25 may. 2017 00:05,,,6.0,49.0,,,,,19.0,
25 may. 2017 01:05,,,8.0,47.0,,,,,19.0,
25 may. 2017 02:05,,,10.0,56.0,,,,,8.0,
25 may. 2017 03:05,,,10.0,46.0,,,,,7.0,
25 may. 2017 04:05,,,10.0,47.0,,,,,9.0,
25 may. 2017 05:05,,,10.0,59.0,,,,,13.0,
25 may. 2017 06:05,,,10.0,45.0,,,,,13.0,
25 may. 2017 07:05,,,9.0,35.0,,,,,19.0,
25 may. 2017 08:05,,,9.0,15.0,,,,,40.0,
25 may. 2017 09:05,,,10.0,29.0,,,,,80.0,
25 may. 2017 10:05,,,10.0,53.0,,,,,43.0,
25 may. 2017 11:05,,,11.0,63.0,,,,,37.0,
25 may. 2017 12:05,,,11.0,70.0,,,,,33.0,
25 may. 2017 13:05,,,11.0,75.0,,,,,25.0,
25 may. 2017 14:05,,,11.0,76.0,,,,,32.0,
25 may. 2017 15:05,,,9.0,75.0,,,,,17.0,
25 may. 2017 16:05,,,11.0,75.0,,,,,15.0,
25 may. 2017 17:05,,,13.0,76.0,,,,,29.0,
25 may. 2017 18:05,,,13.0,78.0,,,,,22.0,
25 may. 2017 19:05,,,10.0,78.0,,,,,20.0,
25 may. 2017 20:05,,,8.0,78.0,,,,,27.0,
25 may. 2017 21:05,,,8.0,77.0,,,,,20.0,
25 may. 2017 22:05,,,9.0,68.0,,,,,52.0,
25 may. 2017 23:05,,,8.0,59.0,,,,,26.0,
26 may. 2017 00:05,,,8.0,48.0,,,,,36.0,
26 may. 2017 01:05,,,9.0,44.0,,,,,27.0,
26 may. 2017 02:05,,,9.0,45.0,,,,,39.0,
26 may. 2017 03:05,,,9.0,60.0,,,,,13.0,
26 may. 2017 04:05,,,10.0,60.0,,,,,8.0,
26 may. 2017 05:05,,,9.0,56.0,,,,,16.0,
26 may. 2017 06:05,,,9.0,41.0,,,,,21.0,
26 may. 2017 07:05,,,10.0,35.0,,,,,21.0,
26 may. 2017 08:05,,,11.0,21.0,,,,,33.0,
26 may. 2017 09:05,,,12.0,16.0,,,,,59.0,
26 may. 2017 10:05,,,10.0,59.0,,,,,51.0,
26 may. 2017 11:05,,,10.0,66.0,,,,,46.0,
26 may. 2017 12:05,,,10.0,69.0,,,,,49.0,
26 may. 2017 13:05,,,9.0,70.0,,,,,40.0,
26 may. 2017 14:05,,,8.0,88.0,,,,,33.0,
26 may. 2017 15:05,,,7.0,104.0,,,,,24.0,
26 may. 2017 16:05,,,7.0,102.0,,,,,26.0,
26 may. 2017 17:05,,,9.0,99.0,,,,,23.0,
26 may. 2017 18:05,,,11.0,99.0,,,,,34.0,
26 may. 2017 19:05,,,10.0,102.0,,,,,38.0,
26 may. 2017 20:05,,,8.0,103.0,,,,,33.0,
26 may. 2017 21:05,,,8.0,99.0,,,,,36.0,
26 may. 2017 22:05,,,9.0,90.0,,,,,23.0,
26 may. 2017 23:05,,,10.0,80.0,,,,,20.0,
27 may. 2017 00:05,,,9.0,75.0,,,,,24.0,
27 may. 2017 01:05,,,9.0,63.0,,,,,17.0,
27 may. 2017 02:05,,,9.0,69.0,,,,,12.0,
27 may. 2017 03:05,,,9.0,74.0,,,,,10.0,
27 may. 2017 04:05,,,9.0,83.0,,,,,12.0,
27 may. 2017 05:05,,,8.0,85.0,,,,,15.0,
27 may. 2017 06:05,,,9.0,75.0,,,,,13.0,
27 may. 2017 07:05,,,10.0,67.0,,,,,15.0,
27 may. 2017 08:05,,,9.0,55.0,,,,,41.0,
27 may. 2017 09:05,,,9.0,63.0,,,,,44.0,
27 may. 2017 10:05,,,10.0,85.0,,,,,54.0,
27 may. 2017 11:05,,,9.0,100.0,,,,,51.0,
27 may. 2017 12:05,,,9.0,104.0,,,,,77.0,
27 may. 2017 13:05,,,9.0,105.0,,,,,90.0,
27 may. 2017 14:05,,,8.0,104.0,,,,,75.0,
27 may. 2017 15:05,,,9.0,104.0,,,,,44.0,
27 may. 2017 16:05,,,9.0,106.0,,,,,36.0,
27 may. 2017 17:05,,,9.0,107.0,,,,,39.0,
27 may. 2017 18:05,,,10.0,101.0,,,,,28.0,
27 may. 2017 19:05,,,10.0,102.0,,,,,24.0,
27 may. 2017 20:05,,,11.0,104.0,,,,,35.0,
27 may. 2017 21:05,,,11.0,100.0,,,,,25.0,
27 may. 2017 22:05,,,11.0,98.0,,,,,13.0,
27 may. 2017 23:05,,,11.0,86.0,,,,,19.0,
28 may. 2017 00:05,,,9.0,74.0,,,,,20.0,
28 may. 2017 01:05,,,10.0,70.0,,,,,23.0,
28 may. 2017 02:05,,,10.0,81.0,,,,,22.0,
28 may. 2017 03:05,,,9.0,77.0,,,,,20.0,
28 may. 2017 04:05,,,10.0,83.0,,,,,15.0,
28 may. 2017 05:05,,,10.0,82.0,,,,,12.0,
28 may. 2017 06:05,,,10.0,79.0,,,,,12.0,
28 may. 2017 07:05,,,10.0,75.0,,,,,20.0,
28 may. 2017 08:05,,,10.0,80.0,,,,,17.0,
28 may. 2017 09:05,,,11.0,87.0,,,,,24.0,
28 may. 2017 10:05,,,10.0,101.0,,,,,27.0,
28 may. 2017 11:05,,,10.0,108.0,,,,,19.0,
28 may. 2017 12:05,,,11.0,110.0,,,,,31.0,
28 may. 2017 13:05,,,10.0,112.0,,,,,37.0,
28 may. 2017 14:05,,,8.0,111.0,,,,,42.0,
28 may. 2017 15:05,,,8.0,112.0,,,,,100.0,
28 may. 2017 16:05,,,9.0,112.0,,,,,72.0,
28 may. 2017 17:05,,,11.0,115.0,,,,,55.0,
28 may. 2017 18:05,,,11.0,116.0,,,,,42.0,
28 may. 2017 19:05,,,10.0,113.0,,,,,31.0,
28 may. 2017 20:05,,,8.0,112.0,,,,,25.0,
28 may. 2017 21:05,,,8.0,112.0,,,,,23.0,
28 may. 2017 22:05,,,8.0,105.0,,,,,20.0,
28 may. 2017 23:05,,,9.0,104.0,,,,,18.0,
29 may. 2017 00:05,,,8.0,94.0,,,,,17.0,
29 may. 2017 01:05,,,9.0,73.0,,,,,15.0,
29 may. 2017 02:05,,,9.0,75.0,,,,,12.0,
29 may. 2017 03:05,,,9.0,73.0,,,,,10.0,
29 may. 2017 04:05,,,9.0,79.0,,,,,11.0,
29 may. 2017 05:05,,,9.0,79.0,,,,,11.0,
29 may. 2017 06:05,,,10.0,74.0,,,,,19.0,
29 may. 2017 07:05,,,9.0,66.0,,,,,20.0,
29 may. 2017 08:05,,,10.0,62.0,,,,,32.0,
29 may. 2017 09:05,,,9.0,48.0,,,,,76.0,
29 may. 2017 10:05,,,9.0,63.0,,,,,58.0,
29 may. 2017 11:05,,,10.0,96.0,,,,,41.0,
29 may. 2017 12:05,,,10.0,90.0,,,,,74.0,
29 may. 2017 13:05,,,9.0,101.0,,,,,37.0,
29 may. 2017 14:05,,,9.0,113.0,,,,,12.0,
29 may. 2017 15:05,,,9.0,116.0,,,,,16.0,
29 may. 2017 16:05,,,10.0,120.0,,,,,23.0,
29 may. 2017 17:05,,,11.0,122.0,,,,,50.0,
29 may. 2017 18:05,,,13.0,122.0,,,,,36.0,
29 may. 2017 19:05,,,12.0,120.0,,,,,25.0,
29 may. 2017 20:05,,,12.0,117.0,,,,,26.0,
29 may. 2017 21:05,,,11.0,108.0,,,,,22.0,
29 may. 2017 22:05,,,10.0,101.0,,,,,26.0,
29 may. 2017 23:05,,,10.0,93.0,,,,,24.0,
30 may. 2017 00:05,,,9.0,80.0,,,,,22.0,
30 may. 2017 01:05,,,9.0,56.0,,,,,26.0,
30 may. 2017 02:05,,,8.0,44.0,,,,,27.0,
30 may. 2017 03:05,,,9.0,26.0,,,,,31.0,
30 may. 2017 04:05,,,9.0,42.0,,,,,31.0,
30 may. 2017 05:05,,,8.0,39.0,,,,,19.0,
30 may. 2017 06:05,,,9.0,43.0,,,,,26.0,
30 may. 2017 07:05,,,9.0,21.0,,,,,28.0,
30 may. 2017 08:05,,,11.0,15.0,,,,,37.0,
30 may. 2017 09:05,,,11.0,38.0,,,,,70.0,
30 may. 2017 10:05,,,10.0,70.0,,,,,39.0,
30 may. 2017 11:05,,,9.0,94.0,,,,,20.0,
30 may. 2017 12:05,,,8.0,103.0,,,,,28.0,
30 may. 2017 13:05,,,9.0,106.0,,,,,27.0,
30 may. 2017 14:05,,,10.0,106.0,,,,,20.0,
30 may. 2017 15:05,,,9.0,106.0,,,,,29.0,
30 may. 2017 16:05,,,11.0,107.0,,,,,41.0,
30 may. 2017 17:05,,,13.0,108.0,,,,,32.0,
30 may. 2017 18:05,,,13.0,103.0,,,,,27.0,
30 may. 2017 19:05,,,10.0,102.0,,,,,30.0,
30 may. 2017 20:05,,,9.0,98.0,,,,,30.0,
30 may. 2017 21:05,,,8.0,95.0,,,,,26.0,
30 may. 2017 22:05,,,10.0,86.0,,,,,27.0,
30 may. 2017 23:05,,,10.0,71.0,,,,,22.0,
31 may. 2017 00:05,,,10.0,48.0,,,,,35.0,
31 may. 2017 01:05,,,10.0,45.0,,,,,26.0,
31 may. 2017 02:05,,,11.0,54.0,,,,,26.0,
31 may. 2017 03:05,,,10.0,55.0,,,,,22.0,
31 may. 2017 04:05,,,9.0,40.0,,,,,22.0,
31 may. 2017 05:05,,,10.0,36.0,,,,,24.0,
31 may. 2017 06:05,,,10.0,50.0,,,,,24.0,
31 may. 2017 07:05,,,10.0,41.0,,,,,22.0,
31 may. 2017 08:05,,,9.0,24.0,,,,,36.0,
31 may. 2017 09:05,,,9.0,47.0,,,,,46.0,
31 may. 2017 10:05,,,9.0,85.0,,,,,33.0,
31 may. 2017 11:05,,,9.0,95.0,,,,,16.0,
31 may. 2017 12:05,,,8.0,102.0,,,,,20.0,
31 may. 2017 13:05,,,9.0,104.0,,,,,72.0,
31 may. 2017 14:05,,,8.0,100.0,,,,,55.0,
31 may. 2017 15:05,,,8.0,98.0,,,,,59.0,
31 may. 2017 16:05,,,8.0,95.0,,,,,31.0,
31 may. 2017 17:05,,,8.0,93.0,,,,,27.0,
31 may. 2017 18:05,,,9.0,88.0,,,,,24.0,
31 may. 2017 19:05,,,9.0,89.0,,,,,23.0,
31 may. 2017 20:05,,,9.0,90.0,,,,,28.0,
31 may. 2017 21:05,,,8.0,85.0,,,,,28.0,
31 may. 2017 22:05,,,9.0,77.0,,,,,30.0,
31 may. 2017 23:05,,,10.0,69.0,,,,,28.0,
1 jun. 2017 00:06,,,9.0,62.0,,,,,27.0,
1 jun. 2017 01:06,,,9.0,58.0,,,,,22.0,
1 jun. 2017 02:06,,,10.0,42.0,,,,,18.0,
1 jun. 2017 03:06,,,9.0,58.0,,,,,16.0,
1 jun. 2017 04:06,,,10.0,56.0,,,,,18.0,
1 jun. 2017 05:06,,,9.0,58.0,,,,,22.0,
1 jun. 2017 06:06,,,9.0,56.0,,,,,18.0,
1 jun. 2017 07:06,,,10.0,47.0,,,,,17.0,
1 jun. 2017 08:06,,,9.0,28.0,,,,,30.0,
1 jun. 2017 09:06,,,9.0,53.0,,,,,39.0,
1 jun. 2017 10:06,,,9.0,79.0,,,,,22.0,
1 jun. 2017 11:06,,,9.0,86.0,,,,,24.0,
1 jun. 2017 12:06,,,9.0,92.0,,,,,24.0,
1 jun. 2017 13:06,,,9.0,93.0,,,,,21.0,
1 jun. 2017 14:06,,,9.0,88.0,,,,,17.0,
1 jun. 2017 15:06,,,8.0,92.0,,,,,32.0,
1 jun. 2017 16:06,,,8.0,93.0,,,,,32.0,
1 jun. 2017 17:06,,,8.0,81.0,,,,,31.0,
1 jun. 2017 18:06,,,10.0,73.0,,,,,25.0,
1 jun. 2017 19:06,,,9.0,75.0,,,,,23.0,
1 jun. 2017 20:06,,,8.0,67.0,,,,,19.0,
1 jun. 2017 21:06,,,8.0,69.0,,,,,20.0,
1 jun. 2017 22:06,,,9.0,63.0,,,,,23.0,
1 jun. 2017 23:06,,,10.0,52.0,,,,,23.0,
2 jun. 2017 00:06,,,9.0,49.0,,,,,21.0,
2 jun. 2017 01:06,,,9.0,35.0,,,,,20.0,
2 jun. 2017 02:06,,,8.0,36.0,,,,,21.0,
2 jun. 2017 03:06,,,6.0,43.0,,,,,13.0,
2 jun. 2017 04:06,,,9.0,50.0,,,,,11.0,
2 jun. 2017 05:06,,,9.0,32.0,,,,,14.0,
2 jun. 2017 06:06,,,10.0,32.0,,,,,13.0,
2 jun. 2017 07:06,,,9.0,31.0,,,,,18.0,
2 jun. 2017 08:06,,,9.0,5.0,,,,,32.0,
2 jun. 2017 09:06,,,9.0,33.0,,,,,47.0,
2 jun. 2017 10:06,,,9.0,56.0,,,,,40.0,
2 jun. 2017 11:06,,,7.0,74.0,,,,,28.0,
2 jun. 2017 12:06,,,6.0,82.0,,,,,31.0,
2 jun. 2017 13:06,,,8.0,80.0,,,,,37.0,
2 jun. 2017 14:06,,,8.0,84.0,,,,,40.0,
2 jun. 2017 15:06,,,8.0,83.0,,,,,30.0,
2 jun. 2017 16:06,,,9.0,81.0,,,,,26.0,
2 jun. 2017 17:06,,,9.0,78.0,,,,,22.0,
2 jun. 2017 18:06,,,9.0,81.0,,,,,12.0,
2 jun. 2017 19:06,,,8.0,82.0,,,,,33.0,
2 jun. 2017 20:06,,,14.0,78.0,,,,,36.0,
2 jun. 2017 21:06,,,21.0,73.0,,,,,33.0,
2 jun. 2017 22:06,,,12.0,60.0,,,,,39.0,
2 jun. 2017 23:06,,,7.0,50.0,,,,,29.0,
3 jun. 2017 00:06,,,6.0,46.0,,,,,28.0,
3 jun. 2017 01:06,,,7.0,48.0,,,,,18.0,
3 jun. 2017 02:06,,,8.0,21.0,,,,,21.0,
3 jun. 2017 03:06,,,8.0,27.0,,,,,17.0,
3 jun. 2017 04:06,,,9.0,36.0,,,,,14.0,
3 jun. 2017 05:06,,,10.0,16.0,,,,,23.0,
3 jun. 2017 06:06,,,11.0,38.0,,,,,17.0,
3 jun. 2017 07:06,,,10.0,49.0,,,,,20.0,
3 jun. 2017 08:06,,,10.0,48.0,,,,,26.0,
3 jun. 2017 09:06,,,11.0,41.0,,,,,50.0,
3 jun. 2017 10:06,,,10.0,61.0,,,,,31.0,
3 jun. 2017 11:06,,,7.0,72.0,,,,,17.0,
3 jun. 2017 12:06,,,8.0,80.0,,,,,25.0,
3 jun. 2017 13:06,,,8.0,85.0,,,,,28.0,
3 jun. 2017 14:06,,,7.0,88.0,,,,,31.0,
3 jun. 2017 15:06,,,6.0,91.0,,,,,25.0,
3 jun. 2017 16:06,,,7.0,90.0,,,,,27.0,
3 jun. 2017 17:06,,,10.0,88.0,,,,,22.0,
3 jun. 2017 18:06,,,11.0,84.0,,,,,20.0,
3 jun. 2017 19:06,,,9.0,83.0,,,,,31.0,
3 jun. 2017 20:06,,,7.0,76.0,,,,,25.0,
3 jun. 2017 21:06,,,6.0,74.0,,,,,26.0,
3 jun. 2017 22:06,,,7.0,69.0,,,,,27.0,
3 jun. 2017 23:06,,,7.0,67.0,,,,,20.0,
4 jun. 2017 00:06,,,7.0,61.0,,,,,17.0,
4 jun. 2017 01:06,,,7.0,62.0,,,,,21.0,
4 jun. 2017 02:06,,,7.0,37.0,,,,,20.0,
4 jun. 2017 03:06,,,7.0,37.0,,,,,26.0,
4 jun. 2017 04:06,,,8.0,23.0,,,,,20.0,
4 jun. 2017 05:06,,,8.0,33.0,,,,,22.0,
4 jun. 2017 06:06,,,8.0,45.0,,,,,20.0,
4 jun. 2017 07:06,,,8.0,33.0,,,,,21.0,
4 jun. 2017 08:06,,,8.0,29.0,,,,,23.0,
4 jun. 2017 09:06,,,8.0,39.0,,,,,42.0,
4 jun. 2017 10:06,,,8.0,65.0,,,,,25.0,
4 jun. 2017 11:06,,,8.0,73.0,,,,,12.0,
4 jun. 2017 12:06,,,8.0,80.0,,,,,18.0,
4 jun. 2017 13:06,,,8.0,81.0,,,,,23.0,
4 jun. 2017 14:06,,,9.0,82.0,,,,,24.0,
4 jun. 2017 15:06,,,9.0,84.0,,,,,49.0,
4 jun. 2017 16:06,,,8.0,85.0,,,,,46.0,
4 jun. 2017 17:06,,,7.0,79.0,,,,,18.0,
4 jun. 2017 18:06,,,7.0,78.0,,,,,18.0,
4 jun. 2017 19:06,,,8.0,73.0,,,,,32.0,
4 jun. 2017 20:06,,,8.0,71.0,,,,,21.0,
4 jun. 2017 21:06,,,8.0,70.0,,,,,28.0,
4 jun. 2017 22:06,,,9.0,69.0,,,,,28.0,
4 jun. 2017 23:06,,,8.0,67.0,,,,,16.0,
5 jun. 2017 00:06,,,7.0,64.0,,,,,21.0,
5 jun. 2017 01:06,,,9.0,55.0,,,,,18.0,
5 jun. 2017 02:06,,,8.0,32.0,,,,,19.0,
5 jun. 2017 03:06,,,8.0,25.0,,,,,28.0,
5 jun. 2017 04:06,,,8.0,34.0,,,,,25.0,
5 jun. 2017 05:06,,,7.0,41.0,,,,,22.0,
5 jun. 2017 06:06,,,7.0,29.0,,,,,23.0,
5 jun. 2017 07:06,,,8.0,23.0,,,,,18.0,
5 jun. 2017 08:06,,,8.0,25.0,,,,,16.0,
5 jun. 2017 09:06,,,8.0,51.0,,,,,5.0,
5 jun. 2017 10:06,,,8.0,60.0,,,,,12.0,
5 jun. 2017 11:06,,,8.0,55.0,,,,,9.0,
5 jun. 2017 12:06,,,9.0,62.0,,,,,21.0,
5 jun. 2017 13:06,,,8.0,66.0,,,,,16.0,
5 jun. 2017 14:06,,,7.0,71.0,,,,,27.0,
5 jun. 2017 15:06,,,7.0,72.0,,,,,19.0,
5 jun. 2017 16:06,,,7.0,73.0,,,,,97.0,
5 jun. 2017 17:06,,,8.0,71.0,,,,,91.0,
5 jun. 2017 18:06,,,9.0,69.0,,,,,45.0,
5 jun. 2017 19:06,,,8.0,71.0,,,,,16.0,
5 jun. 2017 20:06,,,5.0,73.0,,,,,21.0,
5 jun. 2017 21:06,,,3.0,68.0,,,,,30.0,
5 jun. 2017 22:06,,,6.0,57.0,,,,,45.0,
5 jun. 2017 23:06,,,8.0,59.0,,,,,32.0,
6 jun. 2017 00:06,,,7.0,56.0,,,,,27.0,
6 jun. 2017 01:06,,,8.0,57.0,,,,,23.0,
6 jun. 2017 02:06,,,8.0,58.0,,,,,17.0,
6 jun. 2017 03:06,,,8.0,51.0,,,,,15.0,
6 jun. 2017 04:06,,,8.0,51.0,,,,,11.0,
6 jun. 2017 05:06,,,7.0,50.0,,,,,20.0,
6 jun. 2017 06:06,,,7.0,38.0,,,,,13.0,
6 jun. 2017 07:06,,,7.0,18.0,,,,,22.0,
6 jun. 2017 08:06,,,7.0,11.0,,,,,41.0,
6 jun. 2017 09:06,,,7.0,35.0,,,,,47.0,
6 jun. 2017 10:06,,,7.0,45.0,,,,,36.0,
6 jun. 2017 11:06,,,5.0,54.0,,,,,23.0,
6 jun. 2017 12:06,,,6.0,59.0,,,,,30.0,
6 jun. 2017 13:06,,,7.0,64.0,,,,,15.0,
6 jun. 2017 14:06,,,7.0,70.0,,,,,40.0,
6 jun. 2017 15:06,,,6.0,66.0,,,,,20.0,
6 jun. 2017 16:06,,,7.0,79.0,,,,,12.0,
6 jun. 2017 17:06,,,7.0,90.0,,,,,33.0,
6 jun. 2017 18:06,,,7.0,84.0,,,,,42.0,
6 jun. 2017 19:06,,,8.0,81.0,,,,,36.0,
6 jun. 2017 20:06,,,7.0,77.0,,,,,24.0,
6 jun. 2017 21:06,,,7.0,92.0,,,,,8.0,
6 jun. 2017 22:06,,,7.0,91.0,,,,,22.0,
6 jun. 2017 23:06,,,8.0,72.0,,,,,45.0,
7 jun. 2017 00:06,,,8.0,40.0,,,,,92.0,
7 jun. 2017 01:06,,,8.0,32.0,,,,,46.0,
7 jun. 2017 02:06,,,7.0,32.0,,,,,36.0,
7 jun. 2017 03:06,,,7.0,28.0,,,,,27.0,
7 jun. 2017 04:06,,,7.0,41.0,,,,,63.0,
7 jun. 2017 05:06,,,7.0,54.0,,,,,24.0,
7 jun. 2017 06:06,,,8.0,52.0,,,,,13.0,
7 jun. 2017 07:06,,,8.0,43.0,,,,,15.0,
7 jun. 2017 08:06,,,7.0,34.0,,,,,37.0,
7 jun. 2017 09:06,,,6.0,53.0,,,,,44.0,
7 jun. 2017 10:06,,,7.0,57.0,,,,,19.0,
7 jun. 2017 11:06,,,6.0,66.0,,,,,22.0,
7 jun. 2017 12:06,,,6.0,67.0,,,,,29.0,
7 jun. 2017 13:06,,,7.0,67.0,,,,,35.0,
7 jun. 2017 14:06,,,7.0,66.0,,,,,38.0,
7 jun. 2017 15:06,,,7.0,75.0,,,,,18.0,
7 jun. 2017 16:06,,,7.0,77.0,,,,,14.0,
7 jun. 2017 17:06,,,9.0,72.0,,,,,15.0,
7 jun. 2017 18:06,,,9.0,66.0,,,,,22.0,
7 jun. 2017 19:06,,,8.0,64.0,,,,,18.0,
7 jun. 2017 20:06,,,8.0,66.0,,,,,12.0,
7 jun. 2017 21:06,,,7.0,59.0,,,,,24.0,
7 jun. 2017 22:06,,,6.0,52.0,,,,,22.0,
7 jun. 2017 23:06,,,6.0,47.0,,,,,16.0,
8 jun. 2017 00:06,,,6.0,45.0,,,,,16.0,
8 jun. 2017 01:06,,,6.0,39.0,,,,,9.0,
8 jun. 2017 02:06,,,7.0,33.0,,,,,9.0,
8 jun. 2017 03:06,,,7.0,35.0,,,,,12.0,
8 jun. 2017 04:06,,,7.0,38.0,,,,,12.0,
8 jun. 2017 05:06,,,7.0,36.0,,,,,11.0,
8 jun. 2017 06:06,,,6.0,39.0,,,,,11.0,
8 jun. 2017 07:06,,,7.0,36.0,,,,,14.0,
8 jun. 2017 08:06,,,8.0,23.0,,,,,18.0,
8 jun. 2017 09:06,,,8.0,34.0,,,,,37.0,
8 jun. 2017 10:06,,,7.0,49.0,,,,,27.0,
8 jun. 2017 11:06,,,7.0,51.0,,,,,25.0,
8 jun. 2017 12:06,,,7.0,53.0,,,,,26.0,
8 jun. 2017 13:06,,,8.0,61.0,,,,,24.0,
8 jun. 2017 14:06,,,8.0,60.0,,,,,20.0,
8 jun. 2017 15:06,,,10.0,64.0,,,,,18.0,
8 jun. 2017 16:06,,,9.0,63.0,,,,,19.0,
8 jun. 2017 17:06,,,10.0,59.0,,,,,29.0,
8 jun. 2017 18:06,,,10.0,56.0,,,,,22.0,
8 jun. 2017 19:06,,,9.0,59.0,,,,,24.0,
8 jun. 2017 20:06,,,8.0,60.0,,,,,19.0,
8 jun. 2017 21:06,,,6.0,51.0,,,,,27.0,
8 jun. 2017 22:06,,,6.0,45.0,,,,,27.0,
8 jun. 2017 23:06,,,7.0,38.0,,,,,19.0,
9 jun. 2017 00:06,,,8.0,33.0,,,,,19.0,
9 jun. 2017 01:06,,,8.0,30.0,,,,,22.0,
9 jun. 2017 02:06,,,7.0,29.0,,,,,17.0,
9 jun. 2017 03:06,,,6.0,30.0,,,,,18.0,
9 jun. 2017 04:06,,,7.0,35.0,,,,,22.0,
9 jun. 2017 05:06,,,7.0,37.0,,,,,13.0,
9 jun. 2017 06:06,,,7.0,20.0,,,,,8.0,
9 jun. 2017 07:06,,,7.0,17.0,,,,,19.0,
9 jun. 2017 08:06,,,6.0,12.0,,,,,28.0,
9 jun. 2017 09:06,,,6.0,27.0,,,,,29.0,
9 jun. 2017 10:06,,,7.0,50.0,,,,,34.0,
9 jun. 2017 11:06,,,7.0,45.0,,,,,25.0,
9 jun. 2017 12:06,,,7.0,51.0,,,,,17.0,
9 jun. 2017 13:06,,,7.0,58.0,,,,,18.0,
9 jun. 2017 14:06,,,7.0,57.0,,,,,20.0,
9 jun. 2017 15:06,,,8.0,57.0,,,,,13.0,
9 jun. 2017 16:06,,,8.0,57.0,,,,,11.0,
9 jun. 2017 17:06,,,7.0,59.0,,,,,21.0,
9 jun. 2017 18:06,,,8.0,65.0,,,,,8.0,
9 jun. 2017 19:06,,,7.0,60.0,,,,,25.0,
9 jun. 2017 20:06,,,8.0,56.0,,,,,25.0,
9 jun. 2017 21:06,,,7.0,51.0,,,,,23.0,
9 jun. 2017 22:06,,,7.0,46.0,,,,,29.0,
9 jun. 2017 23:06,,,7.0,37.0,,,,,28.0,
10 jun. 2017 00:06,,,6.0,37.0,,,,,54.0,
10 jun. 2017 01:06,,,7.0,31.0,,,,,73.0,
10 jun. 2017 02:06,,,8.0,27.0,,,,,14.0,
10 jun. 2017 03:06,,,7.0,25.0,,,,,16.0,
10 jun. 2017 04:06,,,8.0,22.0,,,,,16.0,
10 jun. 2017 05:06,,,8.0,25.0,,,,,14.0,
10 jun. 2017 06:06,,,8.0,25.0,,,,,16.0,
10 jun. 2017 07:06,,,7.0,22.0,,,,,16.0,
10 jun. 2017 08:06,,,5.0,18.0,,,,,24.0,
10 jun. 2017 09:06,,,5.0,31.0,,,,,32.0,
10 jun. 2017 10:06,,,6.0,43.0,,,,,16.0,
10 jun. 2017 11:06,,,6.0,52.0,,,,,15.0,
10 jun. 2017 12:06,,,7.0,51.0,,,,,17.0,
10 jun. 2017 13:06,,,7.0,56.0,,,,,25.0,
10 jun. 2017 14:06,,,6.0,57.0,,,,,24.0,
10 jun. 2017 15:06,,,8.0,56.0,,,,,12.0,
10 jun. 2017 16:06,,,7.0,58.0,,,,,17.0,
10 jun. 2017 17:06,,,6.0,56.0,,,,,11.0,
